age,year,startmonth,endmonth,string,b0,b1,b2,b3,b4,b5,b6,b7,
25-35,1984,1,12,1/1983-12/1984,0.6397,0.1212,0.0600,0.0000,0.0051,0.1334,0.0170,0.0235,1
35-44,1984,1,12,1/1983-12/1984,0.6554,0.1271,0.0445,0.0000,0.0079,0.1347,0.0063,0.0240,1
45-54,1984,1,12,1/1983-12/1984,0.6099,0.1210,0.0369,0.0000,0.0179,0.1673,0.0029,0.0441,1
>54,1984,1,12,1/1983-12/1984,0.2734,0.0974,0.0171,0.0000,0.0286,0.3028,0.0011,0.2798,1
25-54,1984,1,12,1/1983-12/1984,0.6377,0.1231,0.0494,0.0000,0.0091,0.1420,0.0101,0.0286,1
<25,1983,1,12,1/1982-12/1983,0.3487,0.1958,0.1088,0.0000,0.0023,0.0704,0.2148,0.0592,1
25-35,1983,1,12,1/1982-12/1983,0.6144,0.1233,0.0790,0.0000,0.0049,0.1372,0.0172,0.0240,1
35-44,1983,1,12,1/1982-12/1983,0.6329,0.1291,0.0570,0.0000,0.0074,0.1422,0.0069,0.0245,1
45-54,1983,1,12,1/1982-12/1983,0.5924,0.1228,0.0472,0.0000,0.0165,0.1734,0.0029,0.0449,1
>54,1983,1,12,1/1982-12/1983,0.2748,0.0981,0.0205,0.0000,0.0279,0.3077,0.0009,0.2700,1
25-54,1983,1,12,1/1982-12/1983,0.6149,0.1250,0.0642,0.0000,0.0085,0.1477,0.0104,0.0293,1
<25,1982,1,12,1/1981-12/1982,0.3498,0.1915,0.1124,0.0000,0.0025,0.0719,0.2109,0.0609,1
25-35,1982,1,12,1/1981-12/1982,0.6111,0.1224,0.0792,0.0000,0.0045,0.1425,0.0165,0.0237,1
35-44,1982,1,12,1/1981-12/1982,0.6289,0.1297,0.0563,0.0000,0.0081,0.1461,0.0060,0.0247,1
45-54,1982,1,12,1/1981-12/1982,0.5918,0.1259,0.0433,0.0000,0.0165,0.1747,0.0027,0.0451,1
>54,1982,1,12,1/1981-12/1982,0.2792,0.0999,0.0201,0.0000,0.0276,0.3104,0.0008,0.2621,1
25-54,1982,1,12,1/1981-12/1982,0.6118,0.1256,0.0630,0.0000,0.0087,0.1518,0.0098,0.0294,1
<25,1981,1,12,1/1980-12/1981,0.3746,0.1852,0.0957,0.0000,0.0023,0.0727,0.2083,0.0612,1
25-35,1981,1,12,1/1980-12/1981,0.6310,0.1175,0.0595,0.0000,0.0047,0.1489,0.0160,0.0225,1
35-44,1981,1,12,1/1980-12/1981,0.6413,0.1273,0.0412,0.0000,0.0087,0.1527,0.0053,0.0235,1
45-54,1981,1,12,1/1980-12/1981,0.6035,0.1239,0.0313,0.0000,0.0183,0.1794,0.0028,0.0408,1
>54,1981,1,12,1/1980-12/1981,0.2866,0.0999,0.0145,0.0000,0.0301,0.3143,0.0008,0.2539,1
25-54,1981,1,12,1/1980-12/1981,0.6270,0.1221,0.0466,0.0000,0.0094,0.1579,0.0093,0.0275,1
<25,1980,1,12,1/1979-12/1980,0.3819,0.1857,0.0902,0.0000,0.0025,0.0753,0.2063,0.0581,1
25-35,1980,1,12,1/1979-12/1980,0.6295,0.1160,0.0566,0.0000,0.0049,0.1571,0.0148,0.0211,1
35-44,1980,1,12,1/1979-12/1980,0.6399,0.1251,0.0375,0.0000,0.0091,0.1612,0.0053,0.0220,1
45-54,1980,1,12,1/1979-12/1980,0.6004,0.1214,0.0303,0.0000,0.0203,0.1855,0.0024,0.0397,1
>54,1980,1,12,1/1979-12/1980,0.2928,0.1010,0.0137,0.0000,0.0323,0.3182,0.0009,0.2411,1
25-54,1980,1,12,1/1979-12/1980,0.6249,0.1202,0.0438,0.0000,0.0102,0.1659,0.0086,0.0263,1
<25,1979,1,12,1/1978-12/1979,0.4007,0.1838,0.0769,0.0000,0.0026,0.0754,0.2044,0.0562,1
25-35,1979,1,12,1/1978-12/1979,0.6400,0.1148,0.0409,0.0000,0.0051,0.1651,0.0146,0.0195,1
35-44,1979,1,12,1/1978-12/1979,0.6429,0.1223,0.0289,0.0000,0.0094,0.1703,0.0051,0.0211,1
45-54,1979,1,12,1/1978-12/1979,0.6054,0.1168,0.0237,0.0000,0.0210,0.1931,0.0019,0.0381,1
